"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"106";"target ~ chol+ca0";45;30;12;15;0.735294117647059;0.714285714285714;0.75
"107";"target ~ chol+ca1";34;30;12;26;0.627450980392157;0.714285714285714;0.566666666666667
"108";"target ~ chol+ca2";30;32;10;30;0.607843137254902;0.761904761904762;0.5
"109";"target ~ chol+ca3";15;36;6;45;0.5;0.857142857142857;0.25
"110";"target ~ chol+ca4";19;31;11;41;0.490196078431373;0.738095238095238;0.316666666666667
"111";"target ~ chol+thal0";26;29;13;34;0.53921568627451;0.69047619047619;0.433333333333333
"112";"target ~ chol+thal1";24;31;11;36;0.53921568627451;0.738095238095238;0.4
"113";"target ~ chol+thal2";41;32;10;19;0.715686274509804;0.761904761904762;0.683333333333333
"114";"target ~ chol+thal3";43;30;12;17;0.715686274509804;0.714285714285714;0.716666666666667
"115";"target ~ thalach+oldpeak";29;29;13;31;0.568627450980392;0.69047619047619;0.483333333333333
"116";"target ~ thalach+sex0";29;35;7;31;0.627450980392157;0.833333333333333;0.483333333333333
"117";"target ~ thalach+sex1";29;35;7;31;0.627450980392157;0.833333333333333;0.483333333333333
"118";"target ~ thalach+cp0";39;38;4;21;0.754901960784314;0.904761904761905;0.65
"119";"target ~ thalach+cp1";25;34;8;35;0.57843137254902;0.80952380952381;0.416666666666667
"120";"target ~ thalach+cp2";32;38;4;28;0.686274509803922;0.904761904761905;0.533333333333333
"121";"target ~ thalach+cp3";30;32;10;30;0.607843137254902;0.761904761904762;0.5
"122";"target ~ thalach+fbs0";30;32;10;30;0.607843137254902;0.761904761904762;0.5
"123";"target ~ thalach+fbs1";30;32;10;30;0.607843137254902;0.761904761904762;0.5
"124";"target ~ thalach+restecg0";25;34;8;35;0.57843137254902;0.80952380952381;0.416666666666667
"125";"target ~ thalach+restecg1";25;33;9;35;0.568627450980392;0.785714285714286;0.416666666666667
"126";"target ~ thalach+restecg2";30;32;10;30;0.607843137254902;0.761904761904762;0.5
"127";"target ~ thalach+exang0";39;29;13;21;0.666666666666667;0.69047619047619;0.65
"128";"target ~ thalach+exang1";39;29;13;21;0.666666666666667;0.69047619047619;0.65
"129";"target ~ thalach+slope0";29;33;9;31;0.607843137254902;0.785714285714286;0.483333333333333
"130";"target ~ thalach+slope1";35;32;10;25;0.656862745098039;0.761904761904762;0.583333333333333
"131";"target ~ thalach+slope2";33;33;9;27;0.647058823529412;0.785714285714286;0.55
"132";"target ~ thalach+ca0";37;38;4;23;0.735294117647059;0.904761904761905;0.616666666666667
"133";"target ~ thalach+ca1";33;31;11;27;0.627450980392157;0.738095238095238;0.55
"134";"target ~ thalach+ca2";33;35;7;27;0.666666666666667;0.833333333333333;0.55
"135";"target ~ thalach+ca3";30;31;11;30;0.598039215686274;0.738095238095238;0.5
"136";"target ~ thalach+ca4";29;32;10;31;0.598039215686274;0.761904761904762;0.483333333333333
"137";"target ~ thalach+thal0";28;33;9;32;0.598039215686274;0.785714285714286;0.466666666666667
"138";"target ~ thalach+thal1";30;32;10;30;0.607843137254902;0.761904761904762;0.5
"139";"target ~ thalach+thal2";36;36;6;24;0.705882352941177;0.857142857142857;0.6
"140";"target ~ thalach+thal3";35;36;6;25;0.696078431372549;0.857142857142857;0.583333333333333
"141";"target ~ oldpeak+sex0";35;33;9;25;0.666666666666667;0.785714285714286;0.583333333333333
"142";"target ~ oldpeak+sex1";35;33;9;25;0.666666666666667;0.785714285714286;0.583333333333333
"143";"target ~ oldpeak+cp0";38;37;5;22;0.735294117647059;0.880952380952381;0.633333333333333
"144";"target ~ oldpeak+cp1";36;31;11;24;0.656862745098039;0.738095238095238;0.6
"145";"target ~ oldpeak+cp2";33;34;8;27;0.656862745098039;0.80952380952381;0.55
"146";"target ~ oldpeak+cp3";36;29;13;24;0.637254901960784;0.69047619047619;0.6
"147";"target ~ oldpeak+fbs0";34;30;12;26;0.627450980392157;0.714285714285714;0.566666666666667
"148";"target ~ oldpeak+fbs1";34;30;12;26;0.627450980392157;0.714285714285714;0.566666666666667
"149";"target ~ oldpeak+restecg0";36;31;11;24;0.656862745098039;0.738095238095238;0.6
"150";"target ~ oldpeak+restecg1";36;31;11;24;0.656862745098039;0.738095238095238;0.6
"151";"target ~ oldpeak+restecg2";35;30;12;25;0.637254901960784;0.714285714285714;0.583333333333333
"152";"target ~ oldpeak+exang0";38;30;12;22;0.666666666666667;0.714285714285714;0.633333333333333
"153";"target ~ oldpeak+exang1";38;30;12;22;0.666666666666667;0.714285714285714;0.633333333333333
"154";"target ~ oldpeak+slope0";36;30;12;24;0.647058823529412;0.714285714285714;0.6
"155";"target ~ oldpeak+slope1";33;33;9;27;0.647058823529412;0.785714285714286;0.55
"156";"target ~ oldpeak+slope2";32;33;9;28;0.637254901960784;0.785714285714286;0.533333333333333
"157";"target ~ oldpeak+ca0";35;34;8;25;0.676470588235294;0.80952380952381;0.583333333333333
"158";"target ~ oldpeak+ca1";35;33;9;25;0.666666666666667;0.785714285714286;0.583333333333333
"159";"target ~ oldpeak+ca2";38;32;10;22;0.686274509803922;0.761904761904762;0.633333333333333
"160";"target ~ oldpeak+ca3";39;29;13;21;0.666666666666667;0.69047619047619;0.65
