"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"151";"target ~ oldpeak+restecg2";43;25;17;17;0.666666666666667;0.595238095238095;0.716666666666667
"152";"target ~ oldpeak+exang0";46;27;15;14;0.715686274509804;0.642857142857143;0.766666666666667
"153";"target ~ oldpeak+exang1";46;27;15;14;0.715686274509804;0.642857142857143;0.766666666666667
"154";"target ~ oldpeak+slope0";43;25;17;17;0.666666666666667;0.595238095238095;0.716666666666667
"155";"target ~ oldpeak+slope1";53;17;25;7;0.686274509803922;0.404761904761905;0.883333333333333
"156";"target ~ oldpeak+slope2";50;24;18;10;0.725490196078431;0.571428571428571;0.833333333333333
"157";"target ~ oldpeak+ca0";43;27;15;17;0.686274509803922;0.642857142857143;0.716666666666667
"158";"target ~ oldpeak+ca1";37;30;12;23;0.656862745098039;0.714285714285714;0.616666666666667
"159";"target ~ oldpeak+ca2";43;25;17;17;0.666666666666667;0.595238095238095;0.716666666666667
"160";"target ~ oldpeak+ca3";43;25;17;17;0.666666666666667;0.595238095238095;0.716666666666667
"161";"target ~ oldpeak+ca4";43;25;17;17;0.666666666666667;0.595238095238095;0.716666666666667
"162";"target ~ oldpeak+thal0";43;25;17;17;0.666666666666667;0.595238095238095;0.716666666666667
"163";"target ~ oldpeak+thal1";43;25;17;17;0.666666666666667;0.595238095238095;0.716666666666667
"164";"target ~ oldpeak+thal2";41;34;8;19;0.735294117647059;0.80952380952381;0.683333333333333
"165";"target ~ oldpeak+thal3";43;33;9;17;0.745098039215686;0.785714285714286;0.716666666666667
"166";"target ~ sex0+sex1";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"167";"target ~ sex0+cp0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"168";"target ~ sex0+cp1";33;34;8;27;0.656862745098039;0.80952380952381;0.55
"169";"target ~ sex0+cp2";37;33;9;23;0.686274509803922;0.785714285714286;0.616666666666667
"170";"target ~ sex0+cp3";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"171";"target ~ sex0+fbs0";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"172";"target ~ sex0+fbs1";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"173";"target ~ sex0+restecg0";40;22;20;20;0.607843137254902;0.523809523809524;0.666666666666667
"174";"target ~ sex0+restecg1";40;22;20;20;0.607843137254902;0.523809523809524;0.666666666666667
"175";"target ~ sex0+restecg2";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"176";"target ~ sex0+exang0";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"177";"target ~ sex0+exang1";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
