"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"naiveBayes: target ~ sex0+cp0+slope2+ca0";48;34;17;3;0.803921568627451;0.666666666666667;0.941176470588235
"naiveBayes: target ~ sex0+cp0+slope2+ca0";45;36;11;10;0.794117647058823;0.765957446808511;0.818181818181818
"naiveBayes: target ~ sex0+cp0+slope2+ca0";48;33;16;5;0.794117647058823;0.673469387755102;0.905660377358491
"naiveBayes: target ~ sex0+cp0+slope2+ca0";49;40;10;3;0.872549019607843;0.8;0.942307692307692
"naiveBayes: target ~ sex0+cp0+slope2+ca0";46;41;10;5;0.852941176470588;0.803921568627451;0.901960784313726
"naiveBayes: target ~ sex0+cp0+slope2+ca0";55;32;14;1;0.852941176470588;0.695652173913043;0.982142857142857
"naiveBayes: target ~ sex0+cp0+slope2+ca0";50;36;14;2;0.843137254901961;0.72;0.961538461538462
"naiveBayes: target ~ sex0+cp0+slope2+ca0";44;34;10;14;0.764705882352941;0.772727272727273;0.758620689655172
"naiveBayes: target ~ sex0+cp0+slope2+ca0";51;36;13;2;0.852941176470588;0.73469387755102;0.962264150943396
"naiveBayes: target ~ sex0+cp0+slope2+ca0";47;37;13;5;0.823529411764706;0.74;0.903846153846154
"naiveBayes: target ~ sex0+cp0+slope2+ca0";58;26;15;3;0.823529411764706;0.634146341463415;0.950819672131147
"naiveBayes: target ~ sex0+cp0+slope2+ca0";45;43;10;4;0.862745098039216;0.811320754716981;0.918367346938776
"naiveBayes: target ~ sex0+cp0+slope2+ca0";55;34;10;3;0.872549019607843;0.772727272727273;0.948275862068966
"naiveBayes: target ~ sex0+cp0+slope2+ca0";58;29;10;5;0.852941176470588;0.743589743589744;0.920634920634921
"naiveBayes: target ~ sex0+cp0+slope2+ca0";46;38;9;9;0.823529411764706;0.808510638297872;0.836363636363636
"naiveBayes: target ~ sex0+cp0+slope2+ca0";47;33;15;7;0.784313725490196;0.6875;0.87037037037037
"naiveBayes: target ~ sex0+cp0+slope2+ca0";49;41;8;4;0.882352941176471;0.836734693877551;0.924528301886792
"naiveBayes: target ~ sex0+cp0+slope2+ca0";57;26;14;5;0.813725490196078;0.65;0.919354838709677
