"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"291";"target ~ cp3+thal0";60;0;42;0;0.588235294117647;0;1
"292";"target ~ cp3+thal1";58;3;39;2;0.598039215686274;0.0714285714285714;0.966666666666667
"293";"target ~ cp3+thal2";47;30;12;13;0.754901960784314;0.714285714285714;0.783333333333333
"294";"target ~ cp3+thal3";49;27;15;11;0.745098039215686;0.642857142857143;0.816666666666667
"295";"target ~ fbs0+fbs1";53;5;37;7;0.568627450980392;0.119047619047619;0.883333333333333
"296";"target ~ fbs0+restecg0";32;27;15;28;0.57843137254902;0.642857142857143;0.533333333333333
"297";"target ~ fbs0+restecg1";32;27;15;28;0.57843137254902;0.642857142857143;0.533333333333333
"298";"target ~ fbs0+restecg2";53;5;37;7;0.568627450980392;0.119047619047619;0.883333333333333
"299";"target ~ fbs0+exang0";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"300";"target ~ fbs0+exang1";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"301";"target ~ fbs0+slope0";49;10;32;11;0.57843137254902;0.238095238095238;0.816666666666667
"302";"target ~ fbs0+slope1";42;26;16;18;0.666666666666667;0.619047619047619;0.7
"303";"target ~ fbs0+slope2";38;33;9;22;0.696078431372549;0.785714285714286;0.633333333333333
"304";"target ~ fbs0+ca0";46;30;12;14;0.745098039215686;0.714285714285714;0.766666666666667
"305";"target ~ fbs0+ca1";48;20;22;12;0.666666666666667;0.476190476190476;0.8
"306";"target ~ fbs0+ca2";57;12;30;3;0.676470588235294;0.285714285714286;0.95
"307";"target ~ fbs0+ca3";58;2;40;2;0.588235294117647;0.0476190476190476;0.966666666666667
"308";"target ~ fbs0+ca4";53;4;38;7;0.558823529411765;0.0952380952380952;0.883333333333333
"309";"target ~ fbs0+thal0";60;0;42;0;0.588235294117647;0;1
"310";"target ~ fbs0+thal1";57;3;39;3;0.588235294117647;0.0714285714285714;0.95
