"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"119";"target ~ thalach+cp1";42;27;15;18;0.676470588235294;0.642857142857143;0.7
"120";"target ~ thalach+cp2";46;27;15;14;0.715686274509804;0.642857142857143;0.766666666666667
"121";"target ~ thalach+cp3";45;26;16;15;0.696078431372549;0.619047619047619;0.75
"122";"target ~ thalach+fbs0";44;27;15;16;0.696078431372549;0.642857142857143;0.733333333333333
"123";"target ~ thalach+fbs1";44;27;15;16;0.696078431372549;0.642857142857143;0.733333333333333
"124";"target ~ thalach+restecg0";44;26;16;16;0.686274509803922;0.619047619047619;0.733333333333333
"125";"target ~ thalach+restecg1";44;25;17;16;0.676470588235294;0.595238095238095;0.733333333333333
"126";"target ~ thalach+restecg2";44;27;15;16;0.696078431372549;0.642857142857143;0.733333333333333
"127";"target ~ thalach+exang0";51;22;20;9;0.715686274509804;0.523809523809524;0.85
"128";"target ~ thalach+exang1";51;22;20;9;0.715686274509804;0.523809523809524;0.85
"129";"target ~ thalach+slope0";44;27;15;16;0.696078431372549;0.642857142857143;0.733333333333333
"130";"target ~ thalach+slope1";41;25;17;19;0.647058823529412;0.595238095238095;0.683333333333333
"131";"target ~ thalach+slope2";41;29;13;19;0.686274509803922;0.69047619047619;0.683333333333333
"132";"target ~ thalach+ca0";41;34;8;19;0.735294117647059;0.80952380952381;0.683333333333333
"133";"target ~ thalach+ca1";41;31;11;19;0.705882352941177;0.738095238095238;0.683333333333333
"134";"target ~ thalach+ca2";45;31;11;15;0.745098039215686;0.738095238095238;0.75
"135";"target ~ thalach+ca3";43;26;16;17;0.676470588235294;0.619047619047619;0.716666666666667
"136";"target ~ thalach+ca4";45;26;16;15;0.696078431372549;0.619047619047619;0.75
"137";"target ~ thalach+thal0";44;27;15;16;0.696078431372549;0.642857142857143;0.733333333333333
"138";"target ~ thalach+thal1";43;28;14;17;0.696078431372549;0.666666666666667;0.716666666666667
"139";"target ~ thalach+thal2";40;35;7;20;0.735294117647059;0.833333333333333;0.666666666666667
"140";"target ~ thalach+thal3";41;34;8;19;0.735294117647059;0.80952380952381;0.683333333333333
"141";"target ~ oldpeak+sex0";46;29;13;14;0.735294117647059;0.69047619047619;0.766666666666667
"142";"target ~ oldpeak+sex1";46;29;13;14;0.735294117647059;0.69047619047619;0.766666666666667
"143";"target ~ oldpeak+cp0";51;27;15;9;0.764705882352941;0.642857142857143;0.85
"144";"target ~ oldpeak+cp1";44;24;18;16;0.666666666666667;0.571428571428571;0.733333333333333
"145";"target ~ oldpeak+cp2";46;28;14;14;0.725490196078431;0.666666666666667;0.766666666666667
"146";"target ~ oldpeak+cp3";47;21;21;13;0.666666666666667;0.5;0.783333333333333
"147";"target ~ oldpeak+fbs0";43;23;19;17;0.647058823529412;0.547619047619048;0.716666666666667
"148";"target ~ oldpeak+fbs1";43;23;19;17;0.647058823529412;0.547619047619048;0.716666666666667
"149";"target ~ oldpeak+restecg0";43;23;19;17;0.647058823529412;0.547619047619048;0.716666666666667
"150";"target ~ oldpeak+restecg1";43;23;19;17;0.647058823529412;0.547619047619048;0.716666666666667
"151";"target ~ oldpeak+restecg2";44;22;20;16;0.647058823529412;0.523809523809524;0.733333333333333
"152";"target ~ oldpeak+exang0";49;25;17;11;0.725490196078431;0.595238095238095;0.816666666666667
"153";"target ~ oldpeak+exang1";49;25;17;11;0.725490196078431;0.595238095238095;0.816666666666667
"154";"target ~ oldpeak+slope0";45;22;20;15;0.656862745098039;0.523809523809524;0.75
"155";"target ~ oldpeak+slope1";47;26;16;13;0.715686274509804;0.619047619047619;0.783333333333333
"156";"target ~ oldpeak+slope2";46;27;15;14;0.715686274509804;0.642857142857143;0.766666666666667
"157";"target ~ oldpeak+ca0";43;34;8;17;0.754901960784314;0.80952380952381;0.716666666666667
"158";"target ~ oldpeak+ca1";40;26;16;20;0.647058823529412;0.619047619047619;0.666666666666667
"159";"target ~ oldpeak+ca2";42;29;13;18;0.696078431372549;0.69047619047619;0.7
"160";"target ~ oldpeak+ca3";43;22;20;17;0.637254901960784;0.523809523809524;0.716666666666667
"161";"target ~ oldpeak+ca4";44;22;20;16;0.647058823529412;0.523809523809524;0.733333333333333
"162";"target ~ oldpeak+thal0";44;22;20;16;0.647058823529412;0.523809523809524;0.733333333333333
"163";"target ~ oldpeak+thal1";42;23;19;18;0.637254901960784;0.547619047619048;0.7
"164";"target ~ oldpeak+thal2";42;33;9;18;0.735294117647059;0.785714285714286;0.7
"165";"target ~ oldpeak+thal3";45;31;11;15;0.745098039215686;0.738095238095238;0.75
"166";"target ~ sex0+sex1";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"167";"target ~ sex0+cp0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"168";"target ~ sex0+cp1";33;34;8;27;0.656862745098039;0.80952380952381;0.55
"169";"target ~ sex0+cp2";37;33;9;23;0.686274509803922;0.785714285714286;0.616666666666667
"170";"target ~ sex0+cp3";30;32;10;30;0.607843137254902;0.761904761904762;0.5
"171";"target ~ sex0+fbs0";21;37;5;39;0.568627450980392;0.880952380952381;0.35
"172";"target ~ sex0+fbs1";21;37;5;39;0.568627450980392;0.880952380952381;0.35
"173";"target ~ sex0+restecg0";40;22;20;20;0.607843137254902;0.523809523809524;0.666666666666667
"174";"target ~ sex0+restecg1";40;22;20;20;0.607843137254902;0.523809523809524;0.666666666666667
"175";"target ~ sex0+restecg2";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"176";"target ~ sex0+exang0";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"177";"target ~ sex0+exang1";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"178";"target ~ sex0+slope0";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"179";"target ~ sex0+slope1";51;23;19;9;0.725490196078431;0.547619047619048;0.85
"180";"target ~ sex0+slope2";49;27;15;11;0.745098039215686;0.642857142857143;0.816666666666667
"181";"target ~ sex0+ca0";50;25;17;10;0.735294117647059;0.595238095238095;0.833333333333333
"182";"target ~ sex0+ca1";54;14;28;6;0.666666666666667;0.333333333333333;0.9
